,Valley Zone,Carson Zone,DTLA Zone,Long Beach Zone,Exposition Park Zone,Venice Zone,Inglewood Zone,Pomona Zone,City of Industry Zone,Pasadena Zone,Arcadia Zone,Riviera Zone,Port of Los Angeles Zone,Whittier Narrows Zone,Universal City Zone,Trestles Beach Zone,Anaheim Zone
Valley Zone,0.0,34.9,32.08,48.9,29.03,26.97,26.67,51.65,52.15,25.52,33.7,19.18,42.52,38.17,13.67,82.57,61.22
Carson Zone,35.65,0.0,22.83,23.27,18.85,28.93,16.98,44.57,38.48,39.03,43.85,35.62,18.37,26.73,33.43,56.93,29.83
DTLA Zone,26.97,22.08,0.0,37.13,9.9,28.42,21.15,37.43,31.33,22.02,29.63,29.17,30.38,17.35,16.42,69.63,40.3
Long Beach Zone,50.97,24.1,39.53,0.0,35.55,44.27,33.93,46.5,40.4,49.88,47.18,50.95,21.77,32.35,49.4,47.3,23.1
Exposition Park Zone,32.28,18.27,11.3,33.33,0.0,34.03,17.33,41.67,35.03,27.33,34.97,31.77,26.57,21.05,21.73,67.0,41.98
Venice Zone,29.03,30.33,30.55,44.33,31.52,0.0,22.1,61.45,54.82,47.45,55.08,21.63,37.95,40.52,36.28,78.0,53.8
Inglewood Zone,29.72,20.55,27.35,35.42,23.35,23.0,0.0,52.4,46.3,43.55,51.17,29.68,28.85,35.12,37.95,69.08,43.37
Pomona Zone,51.62,46.97,42.5,46.75,45.13,61.45,51.82,0.0,25.97,33.77,31.07,61.2,56.87,26.47,47.35,61.67,28.5
City of Industry Zone,52.33,40.43,33.7,40.3,35.22,53.07,43.85,25.85,0.0,36.63,33.92,52.82,47.87,18.08,41.78,62.35,29.18
Pasadena Zone,24.72,37.2,22.37,49.38,25.02,43.55,36.25,33.27,37.12,0.0,15.32,38.5,45.5,27.58,20.13,81.25,47.62
Arcadia Zone,33.78,44.67,32.07,45.43,34.08,52.62,45.33,29.32,33.15,15.95,0.0,47.57,52.1,25.65,29.22,76.68,43.67
Riviera Zone,20.45,35.2,28.7,49.2,29.35,24.1,26.97,59.28,52.65,39.2,47.38,0.0,42.82,38.67,27.35,82.87,58.67
Port of Los Angeles Zone,44.33,18.95,32.73,21.95,28.75,37.62,26.88,52.45,49.03,48.93,52.18,44.3,0.0,35.07,43.33,59.62,35.42
Whittier Narrows Zone,39.48,27.57,20.85,30.78,22.37,40.2,33.0,24.42,17.97,27.82,25.02,40.95,35.02,0.0,28.92,62.02,31.6
Universal City Zone,13.62,38.4,23.57,53.45,26.2,35.18,37.45,48.4,45.72,22.27,30.45,27.38,46.68,31.73,0.0,83.88,54.53
Trestles Beach Zone,83.35,56.47,71.92,47.27,67.93,76.63,66.3,60.23,60.87,80.88,78.18,83.32,59.08,63.3,80.08,0.0,36.92
Anaheim Zone,58.65,30.05,41.42,21.57,42.23,51.62,39.3,25.55,26.18,46.2,43.5,58.3,34.07,32.52,49.28,36.48,0.0
